shot_attempted_flag,game_id,period,defender_name,shot_type,defense_category,makes,misses
1,22400251,4,Draymond Green,3pt,Greater Than 15 Ft,4,4
1,22400251,4,Ivica Zubac,2pt,10-15 Ft,0,1
1,22400251,4,Ivica Zubac,2pt,Less Than 6 Ft,5,3
1,22400251,4,Ivica Zubac,3pt,Greater Than 15 Ft,2,6
1,22400251,4,James Harden,2pt,Less Than 10 Ft,0,1
1,22400251,4,James Harden,2pt,Less Than 6 Ft,5,2
1,22400251,4,James Harden,3pt,Greater Than 15 Ft,3,4
1,22400251,4,Jonathan Kuminga,2pt,10-15 Ft,0,1
1,22400251,4,Jonathan Kuminga,2pt,Less Than 6 Ft,2,1
1,22400251,4,Jonathan Kuminga,3pt,Greater Than 15 Ft,1,1
1,22400251,4,Kevin Porter Jr.,2pt,10-15 Ft,0,1
1,22400251,4,Kevin Porter Jr.,2pt,Less Than 6 Ft,2,2
1,22400251,4,Kevin Porter Jr.,3pt,Greater Than 15 Ft,0,2
1,22400251,4,Kyle Anderson,2pt,10-15 Ft,0,1
1,22400251,4,Kyle Anderson,2pt,Less Than 6 Ft,2,1
1,22400251,4,Kyle Anderson,3pt,Greater Than 15 Ft,1,1
1,22400251,4,Lindy Waters III,2pt,10-15 Ft,0,1
1,22400251,4,Lindy Waters III,2pt,Less Than 10 Ft,0,1
1,22400251,4,Lindy Waters III,2pt,Less Than 6 Ft,1,0
1,22400251,4,Lindy Waters III,3pt,Greater Than 15 Ft,3,2
1,22400251,4,Moses Moody,2pt,10-15 Ft,0,1
1,22400251,4,Moses Moody,2pt,Less Than 6 Ft,2,1
1,22400251,4,Moses Moody,3pt,Greater Than 15 Ft,4,3
1,22400251,4,Nicolas Batum,2pt,10-15 Ft,0,1
1,22400251,4,Nicolas Batum,2pt,Less Than 6 Ft,4,3
1,22400251,4,Nicolas Batum,3pt,Greater Than 15 Ft,0,2
1,22400251,4,Norman Powell,2pt,Less Than 10 Ft,0,1
1,22400251,4,Norman Powell,2pt,Less Than 6 Ft,3,1
1,22400251,4,Norman Powell,3pt,Greater Than 15 Ft,3,4
1,22400251,4,Stephen Curry,2pt,10-15 Ft,0,1
1,22400251,4,Stephen Curry,2pt,Less Than 10 Ft,0,1
1,22400251,4,Stephen Curry,2pt,Less Than 6 Ft,1,0
1,22400251,4,Stephen Curry,3pt,Greater Than 15 Ft,4,4
1,22400251,4,Terance Mann,2pt,10-15 Ft,0,1
1,22400251,4,Terance Mann,2pt,Less Than 10 Ft,0,1
1,22400251,4,Terance Mann,2pt,Less Than 6 Ft,7,4
1,22400251,4,Terance Mann,3pt,Greater Than 15 Ft,3,6
